time,gFx,gFy,gFz,TgF
0.006370417,0.0029,-0.0037,0.9985,1.010
0.00705599,0.0042,-0.0012,0.9971,1.009
0.007699792,0.0015,-0.0010,0.9932,1.005
0.008473281,0.0012,-0.0005,0.9968,1.009
0.008954792,0.0027,0.0000,0.9976,1.009
0.009386562,0.0022,-0.0032,0.9951,1.007
0.01380875,0.0007,-0.0024,0.9946,1.007
0.014058177,0.0020,-0.0020,0.9963,1.008
0.014163698,-0.0007,-0.0005,0.9963,1.008
0.01426349,0.0007,0.0000,0.9958,1.008
0.01434849,0.0020,-0.0024,0.9951,1.007
0.014451719,0.0002,-0.0027,0.9956,1.008
0.014532552,0.0024,-0.0017,0.9941,1.006
0.014612865,0.0020,-0.0017,0.9951,1.007
0.014694687,0.0002,-0.0010,0.9934,1.005
0.01477625,0.0020,-0.0015,0.9973,1.009
0.014861823,0.0002,-0.0012,0.9954,1.007
0.018904687,0.0024,-0.0024,0.9956,1.007
0.019145052,0.0010,-0.0002,0.9968,1.009
0.025248021,-0.0002,0.0002,0.9963,1.008
0.025535625,0.0017,-0.0015,0.9978,1.010
0.02812474,-0.0022,-0.0020,0.9961,1.008
0.02874151,0.0007,-0.0017,0.9937,1.005
0.031415312,0.0020,-0.0010,0.9929,1.005
0.036483542,0.0024,-0.0027,0.9973,1.009
0.037194219,0.0010,-0.0034,0.9961,1.008
0.038315104,0.0010,-0.0022,0.9941,1.006
0.040679687,0.0022,-0.0017,0.9944,1.006
0.042907708,0.0017,-0.0020,0.9951,1.007
0.045427552,0.0034,-0.0017,0.9956,1.007
0.047758854,0.0002,-0.0027,0.9954,1.007
0.061233906,-0.0005,-0.0027,0.9951,1.007
0.062047917,0.0007,-0.0007,0.9949,1.007
0.062825208,0.0027,-0.0007,0.9946,1.006
0.063332656,0.0012,-0.0029,0.9976,1.009
0.063875573,0.0022,-0.0015,0.9968,1.009
0.064674427,0.0034,-0.0020,0.9937,1.005
0.065278125,0.0007,-0.0007,0.9971,1.009
0.067310937,0.0024,-0.0032,0.9949,1.007
0.070410625,0.0017,-0.0020,0.9956,1.007
0.074750885,0.0017,0.0000,0.9946,1.006
0.075383854,0.0027,-0.0037,0.9937,1.006
0.076794635,0.0020,-0.0020,0.9961,1.008
0.078985781,0.0029,-0.0032,0.9944,1.006
0.082105469,0.0012,0.0007,0.9961,1.008
0.09505,0.0015,-0.0022,0.9949,1.007
0.095757448,0.0007,-0.0007,0.9954,1.007
0.096179583,0.0012,-0.0022,0.9951,1.007
0.096513906,0.0022,-0.0005,0.9963,1.008
0.096844531,0.0017,-0.0017,0.9958,1.008
0.098081615,0.0007,-0.0032,0.9937,1.006
0.098744792,0.0010,-0.0007,0.9971,1.009
0.101423802,0.0002,0.0000,0.9968,1.009
0.117890729,0.0000,-0.0010,0.9976,1.009
0.118553594,0.0022,-0.0007,0.9956,1.007
0.119021406,0.0007,-0.0007,0.9949,1.007
0.119443177,0.0020,-0.0017,0.9966,1.008
0.119812812,-0.0002,-0.0027,0.9956,1.008
0.120192448,0.0010,-0.0012,0.9949,1.007
0.120541042,-0.0005,-0.0017,0.9946,1.006
